PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,Ratingscore,Reviewanzahl,Rating Faktoren,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Bildergalerie,Created Date,Updated Date
,,,,,[],,,,[],,,,https://www.eversports.de/s/pole-dance-krefeld/videos,[],,[],2024-01-25 01:35:03,2024-01-25 01:35:03
,,,,,"['Übersicht', 'Klassen', 'Trainings', 'Workshops', 'Videos', 'Preise', 'Team']",JaninaPoledanceAerobic+ 4Zum StundenplanJennyPoledanceJumping+ 1Zum StundenplanAnnePoledanceZum StundenplanSarahAerobicZirkeltraining+ 10Zum StundenplanValerieZum StundenplanLeaAerobicZirkeltraining+ 10Zum StundenplanTatianaAerobicPoledance+ 10Zum Stundenplan,,,[], info@poledancekrefeld.de,https://www.poledancekrefeld.de,+4917623943247,https://www.eversports.de/s/pole-dance-krefeld/team,"['Poledance', 'Aerobic', 'Poledance', 'Jumping', 'Poledance', 'Aerobic', 'Zirkeltraining', 'Aerobic', 'Zirkeltraining', 'Aerobic', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/35e4f24f-327f-4302-8f10-fccde1e443db/14472012kl4-x-large.webp', 'https://files.eversports.com/a24abc67-386d-4fed-b342-03b376ec5927/gruppenbild-2-small.webp', 'https://files.eversports.com/eee8c86c-0214-4597-b746-cb13f96c0b82/gruppenbild-1-small.webp', 'https://files.eversports.com/7996bf29-0d29-41ec-9fa3-f5b57e32303e/1-fotojpg-small.webp', 'https://files.eversports.com/6fcf0fc4-4ef4-4125-8da4-02305756733b/2-fotojpg-small.webp']",2024-01-25 01:35:03,2024-01-25 01:35:03
,"['Halberstädter Straße 17 ', ' 39112 Magdeburg']",39112,Magdeburg,Halberstädter Straße 17 ,['Übersicht'],"Herzlich Willkommen bei Firstsports Polefitness aus Magdeburg. 
Im Herzen von Magdeburg findest Du hier das einzige, tägliche Angebot an Polefitness- und Aerialsportarten der Stadt. Die liebevollen und hochmotivierten Trainerinnen begeistern Dich für ganz besondere Sportarten. Sie legen viel Wert auf individuelle Betreuung und qualitative Trainings, vor allem mit Spaß und einer Menge Lerneffekten. Die Teilnehmerinnen schätzen besonders die persönliche Atmosphäre und die herzliche Betreuung durch das Trainerteam. 
Du kommst ganz bequem mit den öffentlichen Verkehrsmitteln sowie Fahrrad oder Auto zum Firstsports - Polefitness Studio.","4,8",39 Rezensionen,"['Raumqualität: 4.8', 'Freundlichkeit & Service: 4.9', 'Sauberkeit: 4.8', 'Atmosphäre: 4.9', 'Preis-Leistung: 4.7']", polefitness@firstsports.de,http://www.firstsports-polefitness.de,+4917660163383,https://www.eversports.de/s/firstsports-polefitness,"['39 Rezensionen', 'Acroyoga', 'Aerial Akrobatik', 'Aerial Dance', 'Aerial Hoop', 'Aerial Silk', 'Aerial Yoga', 'Bootcamp', 'Fitness', 'Kinderyoga', 'Online Klasse', 'Poledance', 'Polesport', 'Selbstverteidigung', 'Yoga']",4 Angebote für Neukund:innen,"['https://files.eversports.com/78b82db2-3cba-470f-8e16-c922523cc20f/64223736_2277919328921926_2449065385257861120_njpg-x-large.webp', 'https://files.eversports.com/bfc591ff-9bb7-4ab9-b046-d8e2efe0b44c/hoop_fb_veranst_headerpng-small.webp', 'https://files.eversports.com/1fcf57aa-471e-4019-a149-28405f41a6bf/pole_fb_veranst_headerpng-small.webp']",2024-01-25 01:35:07,2024-01-25 01:35:07
,"['Von-Hazzi-Straße 7', ' 93326 Abensberg']",93326,Abensberg,Von-Hazzi-Straße 7,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Das Sportheim Abensberg befindet sich in der Abensberger Altstadt und bietet seit 2009 Gruppenfitnesskurse auf höchstem Niveau für alle Levels. Frauen & Männer sind gleichermaßen willkommen. Trainiert wird in familiärer Atmosphäre mit professionellen Trainern, das sorgt für effizientes Training mit Funfaktor. Langhanteltraining, Core-Training, funktionelles Training, TRX, deepWORK, bodyART, POUND und Zumba sorgen für Abwechslung im Training.
Für alle Tanz- und Akrobatikfans hat das Sportheim Abensberg unter auch Poledance und Aerial Hoop im Angebot.",5,37 Rezensionen,"['Raumqualität: 4.8', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.9']", office@sportheim.net,http://www.sportheim.net,0176-24621998,https://www.eversports.de/s/sportheim-abensberg,"['Fitness', 'Pilates', 'Poledance', 'Pilates', 'Poledance', 'Fitness', 'Funktionelles Training', 'Fitness', 'Pilates', '37 Rezensionen', 'Fitness', 'Pilates', 'Poledance', 'Aerial Yoga', 'Funktionelles Training', 'Krafttraining', 'TRX®', 'Faszientraining', 'Chairdance', 'Aerial Hoop', 'Power Yoga', 'Online Klasse']",Zum Stundenplan,"['https://files.eversports.com/9b5f6e3a-5ec8-45f2-8d5c-53002bef8aa4/bodypumpjpg-x-large.webp', 'https://files.eversports.com/9b254072-9247-44e8-998c-a207c5c6a0d7/17309319_1233630380007173_2657795052857714747_njpg-small.webp', 'https://files.eversports.com/25c2d033-7d11-426f-9dec-b14166faf5a0/dsc_0043jpg-small.webp', 'https://files.eversports.com/fc8e80d1-a396-4022-bf12-a64138e9268a/bodybalancefotojpg-small.webp', 'https://files.eversports.com/052154f0-52e0-43fb-b508-f639d5424aa7/12119020_889476474422567_7683115001351570481_njpg-small.webp']",2024-01-25 01:35:18,2024-01-25 01:35:18
,,,,,[],,,,[],,,,https://www.eversports.de/s/sportheim-abensberg/videos,[],,[],2024-01-25 01:36:04,2024-01-25 01:36:04
,,,,,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']",CarinaFitnessPilates+ 9Zum StundenplanDorisPoledancePilates+ 10Zum StundenplanSenta-LorenaPoledanceZum StundenplanFrankFitnessFunktionelles TrainingZum StundenplanGerlindeFitnessPilates+ 8Zum StundenplanMarinaFunktionelles TrainingFitness+ 1Zum StundenplanAnnikaFitnessFunktionelles Training+ 1Zum StundenplanBinePilatesFitness+ 10Zum StundenplanChristinaZum StundenplanElissavetAerial YogaAerial HoopZum StundenplanElodieFitnessAerial Yoga+ 10Zum StundenplanEvelynFitnessPilates+ 10Zum StundenplanGasttrainerFitnessZum StundenplanKatharinaZum StundenplanKikkiFitnessOnline KlasseZum StundenplanLorenaFitnessPilates+ 9Zum StundenplanNataschaFitnessFunktionelles TrainingZum StundenplanSarahFitnessPilates+ 9Zum StundenplanSilkeTRX®Funktionelles Training+ 1Zum StundenplanSissyFitnessPilates+ 9Zum Stundenplan,,,[], office@sportheim.net,http://www.sportheim.net,0176-24621998,https://www.eversports.de/s/sportheim-abensberg/team,"['Fitness', 'Pilates', 'Poledance', 'Pilates', 'Poledance', 'Fitness', 'Funktionelles Training', 'Fitness', 'Pilates', 'Funktionelles Training', 'Fitness', 'Fitness', 'Funktionelles Training', 'Pilates', 'Fitness', 'Aerial Yoga', 'Aerial Hoop', 'Fitness', 'Aerial Yoga', 'Fitness', 'Pilates', 'Fitness', 'Fitness', 'Online Klasse', 'Fitness', 'Pilates', 'Fitness', 'Funktionelles Training', 'Fitness', 'Pilates', 'TRX®', 'Funktionelles Training', 'Fitness', 'Pilates']",Zum Stundenplan,"['https://files.eversports.com/9b5f6e3a-5ec8-45f2-8d5c-53002bef8aa4/bodypumpjpg-x-large.webp', 'https://files.eversports.com/9b254072-9247-44e8-998c-a207c5c6a0d7/17309319_1233630380007173_2657795052857714747_njpg-small.webp', 'https://files.eversports.com/25c2d033-7d11-426f-9dec-b14166faf5a0/dsc_0043jpg-small.webp', 'https://files.eversports.com/fc8e80d1-a396-4022-bf12-a64138e9268a/bodybalancefotojpg-small.webp', 'https://files.eversports.com/052154f0-52e0-43fb-b508-f639d5424aa7/12119020_889476474422567_7683115001351570481_njpg-small.webp']",2024-01-25 01:36:04,2024-01-25 01:36:04
,"['Mandtstraße 2 ', ' 42853 Remscheid']",42853,Remscheid,Mandtstraße 2 ,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.","4,4",1 Rezension,"['Raumqualität: 3.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 4.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", info@poledance-area.de,http://www.poledance-area.de,+49 01623675667,https://www.eversports.de/s/poledance-area,"['1 Rezensionen', 'Chairdance', 'Floorwork', 'Lapdance', 'Stretching', 'Poledance']",,['https://files.eversports.com/b08a5871-53b9-4d53-bd71-2774447d2036/polr-50jpg-x-large.webp'],2024-01-25 01:36:07,2024-01-25 01:36:07
,"['Landshuter Straße 65', ' 84307 Eggenfelden']",84307,Eggenfelden,Landshuter Straße 65,['Übersicht'],"Infinity Polesports Eggenfelden ist das erste Sportstudio für Poledance in Eggenfelden beziehungsweise im Landkreis Altötting. Es gibt zwei Studios, eines in Burgkirchen und das zweite in Eggenfelden. Du kannst in den neuen und top-ausgestatteten Studios verschiedene Kurse buchen, vom Einsteigerkurs bis zum Profikurs, aber auch Exotic Pole für sexy Moves oder Pole + für ein besonders intensives Training werden angeboten.","4,9",11 Rezensionen,"['Raumqualität: 4.8', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 4.9', 'Preis-Leistung: 4.8']", info@infinity-polesports.de,https://www.infinity-polesports.de,+431721642077,https://www.eversports.de/s/infinity-polesports-eggenfelden,"['11 Rezensionen', 'Poledance']",1 Angebot für Neukund:innen,[],2024-01-25 01:36:11,2024-01-25 01:36:11
,"['Eickeler Markt 3A ', ' 44651 Herne']",44651,Herne,Eickeler Markt 3A ,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Für Neukunden-bitte eine Email bei Interesse an unseren Kursen an info@dabecca.de .Da Becca Flow and Fit - wir heissen Dich herzlich willkommen in unserem wunderschönen Pole/Floorwork/ Tanzstudio. Hier wird wert auf persönliche und kleine Lerngruppen gelegt und Dir ein Safespace für Frauen mit professioneller Betreuung geboten. Trainingserfolge mit Spass, viel Musik, Tanzen und auch schweisstreibenden Stretching und Choreos. Mal sensual, mal rockig , mal contemporary . Wir haben Dir im kleinen rahmen viel zu bieten . Wir freuen uns auf das Tanzerlebnis mit Dir oder auch in unseren Mobility Kursen mit Dir an Deiner flexibilität und Kraft zu arbeiten !!!Wir arbeiten mit Flatrates und 10 und 5 er Karten daher seid euch bitte im klaren das nicht immer gewährleistet ist das ihr euren Wunschkurs jede Woche belegen könnt dafür aber bis zu 80 Kurse im Monat zur Auswahl habt !!",5,23 Rezensionen,"['Raumqualität: 4.9', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", info@dabecca-flowandfit.de,http://www.dabecca-flowandfit.de,+49 17620913644,https://www.eversports.de/s/da-becca-flow-and-fit,"['Floorwork', 'Poledance', 'Tanzen', 'Stretching', 'Tanzen', 'Poledance', 'Tanzen', 'Mobility', 'Tanzen', 'Poledance', '23 Rezensionen', 'Tanzen', 'Poledance', 'Stretching', 'Floorwork', 'Chairdance', 'Mobility', 'Contemporary Dance', 'Luftartistik']",Zum Stundenplan,"['https://files.eversports.com/423f4250-800d-4685-b334-3e4c9f49ed32/c0fed07f-e5c6-4250-afc6-8430e77c7d5fjpeg-x-large.webp', 'https://files.eversports.com/87a60167-48ac-4d56-9082-1e6235ac40b5/jhuttig-dabecca-team-shooting-april-2023-81swjpg-small.webp', 'https://files.eversports.com/49b0f0f0-920e-44ea-8443-ab7550633c6c/becca-shooting-april-2023-33swjpg-small.webp', 'https://files.eversports.com/00f5dc61-fef0-4f21-b76c-1155a8272a5d/178c1e0f-f2ed-4522-873a-112520dbeed6jpeg-small.webp', 'https://files.eversports.com/939ddd41-3356-4d7c-8655-86ed197e9114/chairjpg-small.webp']",2024-01-25 01:36:21,2024-01-25 01:36:21
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']",JosefineFloorworkPoledance+ 6Zum StundenplanBeccaTanzenStretching+ 3Zum StundenplanAnnikaTanzenPoledance+ 2Zum StundenplanKarlaTanzenMobility+ 1Zum StundenplanKimTanzenPoledance+ 6Zum Stundenplan,,,[], info@dabecca-flowandfit.de,http://www.dabecca-flowandfit.de,+49 17620913644,https://www.eversports.de/s/da-becca-flow-and-fit/team,"['Floorwork', 'Poledance', 'Tanzen', 'Stretching', 'Tanzen', 'Poledance', 'Tanzen', 'Mobility', 'Tanzen', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/423f4250-800d-4685-b334-3e4c9f49ed32/c0fed07f-e5c6-4250-afc6-8430e77c7d5fjpeg-x-large.webp', 'https://files.eversports.com/87a60167-48ac-4d56-9082-1e6235ac40b5/jhuttig-dabecca-team-shooting-april-2023-81swjpg-small.webp', 'https://files.eversports.com/49b0f0f0-920e-44ea-8443-ab7550633c6c/becca-shooting-april-2023-33swjpg-small.webp', 'https://files.eversports.com/00f5dc61-fef0-4f21-b76c-1155a8272a5d/178c1e0f-f2ed-4522-873a-112520dbeed6jpeg-small.webp', 'https://files.eversports.com/939ddd41-3356-4d7c-8655-86ed197e9114/chairjpg-small.webp']",2024-01-25 01:37:43,2024-01-25 01:37:43
,"['Leonrodplatz 2', ' 80636 München']",80636,München,Leonrodplatz 2,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Herzlich Willkommen bei Munich Poledance.
In einer entspannten und freundlichen Atmosphäre kannst Du Deine ersten Schritte im Poledance wagen, über Dich selbst hinauswachsen und vor allem ganz viel Freude an Bewegung haben.
Wie der Name schon sagt, liegt der Fokus bei Munich Poledance ganz klar auf Poledance (Static, Spin, Heels,...), aber das Angebot umfasst auch weitere Formate wie Aerial Hoop, Chairdance, Floorwork, Lapdance und Strip'nTease sowie FeetUp, Flexibility, Workout und Yoga. Sämtliche Formate können je nach Kursplan als Gruppenkurse oder auf Anfrage auch als Privatstunden/private Kleingruppen gebucht werden. Außerdem gibt es die Möglichkeit für Freies Training im Beisein einer Trainerin. Auch für Mädelsabende, (Geburtstags-)Partys, sowie Junggesellinnenabschiede wird Munich Poledance gerne gebucht.
Bei uns sind natürlich alle Altersstufen und Erfahrungs-Niveaus herzlich Willkommen.
Durch große Fensterfronten wirkt das Studio sehr hell und freundlich. Eine Umkleide mit geräumigen Spinden sowie 2 Duschen ist für unsere KundInnen natürlich auch vorhanden.
Das Munich Poledance Studio liegt direkt am Leonrodplatz in München und ist gut mit den öffentlichen Verkehrsmitteln (Straßenbahnlinie 12/20/21 sowie Buslinie 53) sowie dem Fahrrad und Auto erreichbar.
Über das Team
Seit April 2020 ist die langjährige Trainerin Isabel nun Inhaberin von Munich Poledance.
Da sie Studentin im Bereich Fitness- & Gesundheitsmanagement ist, liegt ihr die Nachhaltigkeit des Trainings sowie ständige Aus- und Weiterbildung sehr am Herzen. Um ein möglichst gesundes, sicheres und vielfältiges Training anzubieten, ist das Munich Poledance Trainerteam deswegen sehr gut ausgebildet und hochwertig zertifiziert.
Natürlich soll der Spaß und Freude an Bewegung auch nicht zu kurz kommen und so bringen alle TrainerInnen ihre eigene Seite und den persönlichen Humor mit in die Stunden mit ein.
Besuche uns und lerne unser einzigartiges Trainerteam kennen!
Fragen und Antworten
Was sollte ich sonst noch wissen?
Alle häufig gestellten Fragen findest Du in unserem Q&A auf der Website. Für weitere Fragen steht Dir das MPD Team per E-Mail (isabel@munich-poledance.de) oder telefonisch/per WhatsApp unter 015906736735 gerne zur Verfügung.","4,9",82 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.8']", info@munich-poledance.de,https://www.munich-poledance.de,015906736735,https://www.eversports.de/s/munich-poledance,"['Poledance', 'Power Pole', 'Yoga', 'Poledance', 'Floorwork', 'Lapdance', 'Yoga', 'Personal Training', 'Poledance', 'Power Pole', '82 Rezensionen', 'Yoga', 'Poledance', 'Personal Training', 'Power Pole', 'Stretching', 'Floorwork', 'Lapdance', 'Chairdance', 'Aerial Silk', 'Aerial Hoop', 'Polesport', 'Heels', 'Online Klasse', 'Workout', 'Dehnung/Flexibilität', 'Exotic', 'Probetraining', 'Feet-Up', 'Striptease', 'Strip Plastic', 'Tease']",3 Angebote für Neukund:innen,"['https://files.eversports.com/f1142638-8b9d-4e28-b4f9-dd0783f24253/mpd_poledetail_2964jpg-x-large.webp', 'https://files.eversports.com/325a944f-650a-4b98-a6c8-a2779ae97fdf/whatsapp-image-2023-11-13-at-135136jpeg-small.webp', 'https://files.eversports.com/c0922d83-112c-45ee-b727-0b7b4437fde2/mpd_eversportsdetail_2851jpg-small.webp', 'https://files.eversports.com/3f2ab6e7-9f83-4b0d-8069-8d0e272664e2/whatsapp-image-2023-11-13-at-134600jpeg-small.webp', 'https://files.eversports.com/4ffd62a4-3f07-484e-a3ec-6f01b7a8cc3a/bildschirmfoto-2023-11-13-um-135356png-small.webp']",2024-01-25 01:37:53,2024-01-25 01:37:53
,,,,,[],,,,[],,,,https://www.eversports.de/s/munich-poledance/videos,[],,[],2024-01-25 01:40:14,2024-01-25 01:40:14
,,,,,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']",JessicaPoledancePower Pole+ 2Zum StundenplanLisaYogaPoledance+ 16Zum StundenplanViviFloorworkLapdance+ 6Zum StundenplanIsabelYogaPersonal Training+ 15Zum StundenplanAnnalenaPoledancePower Pole+ 8Zum StundenplanIvonnePoledancePower Pole+ 10Zum StundenplanJasminPolesportPoledance+ 1Zum StundenplanSonjaPoledancePolesport+ 2Zum StundenplanMarlenePoledanceProbetraining+ 1Zum StundenplanOliverPoledancePower Pole+ 7Zum StundenplanThe Supergirl Studio TeamYogaPersonal Training+ 16Zum StundenplanEmilyPoledanceLapdance+ 8Zum StundenplanMelliePoledanceFloorwork+ 7Zum StundenplanNinaPoledanceFloorwork+ 6Zum StundenplanVeronikaPoledancePower Pole+ 9Zum StundenplanAnnaPolesportPower Pole+ 3Zum StundenplanSophieHeelsExotic+ 2Zum StundenplanGritPolesportPoledanceZum StundenplanLaura-AnnPoledanceLapdance+ 4Zum StundenplanYuhuiYogaPoledance+ 8Zum StundenplanAntoniaHeelsFloorwork+ 2Zum StundenplanLenaPersonal TrainingPoledance+ 6Zum StundenplanMAREEN LEYKAUFPersonal TrainingPoledance+ 8Zum StundenplanPoleBuddies TeamYogaPoledance+ 5Zum StundenplanSteffiPoledancePersonal Training+ 2Zum StundenplanTrishaPoledanceHeels+ 2Zum StundenplanVertretungYogaPoledance+ 9Zum Stundenplan,,,[], info@munich-poledance.de,https://www.munich-poledance.de,015906736735,https://www.eversports.de/s/munich-poledance/team,"['Poledance', 'Power Pole', 'Yoga', 'Poledance', 'Floorwork', 'Lapdance', 'Yoga', 'Personal Training', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Polesport', 'Poledance', 'Poledance', 'Polesport', 'Poledance', 'Probetraining', 'Poledance', 'Power Pole', 'Yoga', 'Personal Training', 'Poledance', 'Lapdance', 'Poledance', 'Floorwork', 'Poledance', 'Floorwork', 'Poledance', 'Power Pole', 'Polesport', 'Power Pole', 'Heels', 'Exotic', 'Polesport', 'Poledance', 'Poledance', 'Lapdance', 'Yoga', 'Poledance', 'Heels', 'Floorwork', 'Personal Training', 'Poledance', 'Personal Training', 'Poledance', 'Yoga', 'Poledance', 'Poledance', 'Personal Training', 'Poledance', 'Heels', 'Yoga', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/f1142638-8b9d-4e28-b4f9-dd0783f24253/mpd_poledetail_2964jpg-x-large.webp', 'https://files.eversports.com/325a944f-650a-4b98-a6c8-a2779ae97fdf/whatsapp-image-2023-11-13-at-135136jpeg-small.webp', 'https://files.eversports.com/c0922d83-112c-45ee-b727-0b7b4437fde2/mpd_eversportsdetail_2851jpg-small.webp', 'https://files.eversports.com/3f2ab6e7-9f83-4b0d-8069-8d0e272664e2/whatsapp-image-2023-11-13-at-134600jpeg-small.webp', 'https://files.eversports.com/4ffd62a4-3f07-484e-a3ec-6f01b7a8cc3a/bildschirmfoto-2023-11-13-um-135356png-small.webp']",2024-01-25 01:40:14,2024-01-25 01:40:14
,"['Königstraße 45 ', ' 32547 Bad Oeynhausen']",32547,Bad,Königstraße 45 ,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Entdecke mit uns die vielseitige Welt der Luftakrobatik.Dazu gehört Poledance (Stangenakrobatik), Aerial Hoop (Luftring), Aerial Hammock (Tuch, U-förmig).Zum Ausgleich bieten wir Mobility Kurse an, für den Aufbau von Kraft, Flexibilität, Balance.Workshops, Privatstunden, JGA, Aerial Partys und freie Trainings finden regelmäßig statt, auch auf Anfrage.",5,16 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.9']", info@luftbonbon.com,https://www.luftbonbon.com/,01622572081,https://www.eversports.de/s/luftbonbon,"['Poledance', 'Aerial Hoop', 'Poledance', 'Stärkung/Flexibilität', 'Poledance', '16 Rezensionen', 'Poledance', 'Aerial Yoga', 'Chairdance', 'Aerial Hoop', 'Mobility', 'Stärkung/Flexibilität', 'Aerial Hammock']",Zum Stundenplan,"['https://files.eversports.com/2bb5f885-005b-450a-9f24-4d264fa2df24/dscf1117-bearbeitetjpg-x-large.webp', 'https://files.eversports.com/fc9a990e-d36b-4bc3-8bc7-907a5ebd591c/dscf0811-bearbeitet-kopiejpg-small.webp', 'https://files.eversports.com/b4bafd62-4294-4d76-bb4a-527442315db0/flyer-1jpg-small.webp', 'https://files.eversports.com/269aa2fa-366e-4c2a-8a1a-5bac3d11f8d6/maery-logo-schwarzjpg-small.webp']",2024-01-25 01:40:24,2024-01-25 01:40:24
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']",MariePoledanceAerial Hoop+ 4Zum StundenplanMarlenePoledanceZum StundenplanHelenaStärkung/FlexibilitätPoledanceZum Stundenplan,,,[], info@luftbonbon.com,https://www.luftbonbon.com/,01622572081,https://www.eversports.de/s/luftbonbon/team,"['Poledance', 'Aerial Hoop', 'Poledance', 'Stärkung/Flexibilität', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/2bb5f885-005b-450a-9f24-4d264fa2df24/dscf1117-bearbeitetjpg-x-large.webp', 'https://files.eversports.com/fc9a990e-d36b-4bc3-8bc7-907a5ebd591c/dscf0811-bearbeitet-kopiejpg-small.webp', 'https://files.eversports.com/b4bafd62-4294-4d76-bb4a-527442315db0/flyer-1jpg-small.webp', 'https://files.eversports.com/269aa2fa-366e-4c2a-8a1a-5bac3d11f8d6/maery-logo-schwarzjpg-small.webp']",2024-01-25 01:41:22,2024-01-25 01:41:22
,"['Gasstraße 10-18', ' 42657 Solingen']",42657,Solingen,Gasstraße 10-18,"['Übersicht', 'Klassen', 'Preise', 'Team']","Wir sind ein kleines, sehr persönliches Studio mit einer großen Auswahl an Kursangeboten.
Dance & Pole in Leverkusen ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden.
Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von uns inspirieren.",,,"['Raumqualität: 0.0', 'Freundlichkeit & Service: 0.0', 'Sauberkeit: 0.0', 'Atmosphäre: 0.0', 'Preis-Leistung: 0.0']", info@danceandpole.de,https://www.danceandpole.de/,+49 1741929037,https://www.eversports.de/s/dance-and-pole-deltawerk,"['Poledance', 'Poledance', 'Poledance', 'Contemporary Dance', 'Ballett-Fitness', 'Poledance', '(Noch keine Bewertungen)', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/d30460d2-e0e5-4f4f-ae52-546f430889ad/delta-umkleidejpg-x-large.webp', 'https://files.eversports.com/78a80f61-8349-47f1-ba71-d3d30c9a8ff7/deltawerk-eingang-cjpg-small.webp', 'https://files.eversports.com/fe0083af-b9a5-4fff-aa61-e230793200db/deltawerk-eingangjpg-small.webp', 'https://files.eversports.com/26093b01-f1e6-4135-9c54-65d4ab57f778/deltawerk-raumjpg-small.webp']",2024-01-25 01:41:29,2024-01-25 01:41:29
,,,,,"['Übersicht', 'Klassen', 'Preise', 'Team']",SusiPoledanceZum StundenplanJanaPoledanceZum StundenplanMichiPoledanceZum StundenplanBettinaContemporary DanceBallett-Fitness+ 3Zum StundenplanBiancaPoledanceZum StundenplanCelinePoledanceChairdance+ 5Zum StundenplanCharlotteStretchingPoledance+ 12Zum StundenplanChristinAerial HoopStretching+ 3Zum StundenplanDenisePoledanceZum StundenplanFabiPoledanceZum StundenplanFabiennePolesportPoledanceZum StundenplanHeidiZum StundenplanJackyPoledanceZum StundenplanJana2PoledanceAerial Silk+ 2Zum StundenplanJessyAerial HammockPoledanceZum StundenplanKrisPoledanceZum StundenplanLoriPoledanceZum StundenplanSandraPoledanceZum Stundenplan,,,[], info@danceandpole.de,https://www.danceandpole.de/,+49 1741929037,https://www.eversports.de/s/dance-and-pole-deltawerk/team,"['Poledance', 'Poledance', 'Poledance', 'Contemporary Dance', 'Ballett-Fitness', 'Poledance', 'Poledance', 'Chairdance', 'Stretching', 'Poledance', 'Aerial Hoop', 'Stretching', 'Poledance', 'Poledance', 'Polesport', 'Poledance', 'Poledance', 'Poledance', 'Aerial Silk', 'Aerial Hammock', 'Poledance', 'Poledance', 'Poledance', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/d30460d2-e0e5-4f4f-ae52-546f430889ad/delta-umkleidejpg-x-large.webp', 'https://files.eversports.com/78a80f61-8349-47f1-ba71-d3d30c9a8ff7/deltawerk-eingang-cjpg-small.webp', 'https://files.eversports.com/fe0083af-b9a5-4fff-aa61-e230793200db/deltawerk-eingangjpg-small.webp', 'https://files.eversports.com/26093b01-f1e6-4135-9c54-65d4ab57f778/deltawerk-raumjpg-small.webp']",2024-01-25 01:42:10,2024-01-25 01:42:10
