,PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
35,POLEside,74177,Saline 5 , 74177 Bad Friedrichshall,"Willkommen bei POLEside!
Lass Dich von uns mitreißen und tauche mit uns ein in die Welt von Pole Dance, Aerial Hammok (Tuch), Aerial Hoop (Luftring) und Aerial Yoga.
Wenn du schon immer etwas Neues ausprobieren wolltest, am besten etwas mit Vielfalt, das Sport und Spaß miteinander verbindet? Dann bist Du bei uns genau richtig. Wir zeigen Dir eine andere Welt des Sports. Verschiedene Ganzkörper-Workouts in einer akrobatischen und kunstvollen Art, die Dein Selbstwertgefühl stärken und ein ganz neues Körpergefühl in Dir wecken. Wir möchten Dir zeigen, wie man Kraft, Eleganz, Körperspannung und Flexibilität miteinander vereint und den Spaß dennoch im Fokus behält. Probiere es aus und lass Dich von unserer Leidenschaft inspirieren. Schon nach ein paar Trainingseinheiten wirst Du Erste und vor allem motivierende Fortschritte feststellen können, welche Dich und uns zu weiterem Ehrgeiz animieren.",0,4.9,11 Rezensionen, info@poleside.de,http://poleside.de/,017622780120,https://www.eversports.de/s/poleside,2023-05-12 15:56:27
36,SPIN-UP,3097,Könizstrasse 161, 3097 Liebefeld,"Willkommen bei SPIN-UP Poledance in Bern. Ganz egal, ob du noch nie Pole Dance ausprobiert hast oder bereits regelmässig kopfüber hängst. Bei uns darfst du dich neu entdecken. Du wirst stärker, beweglicher und dein Selbstvertrauen wird explodieren. Gemeinsam feiern wir deine Erfolge.
Wir leben Pole Dance. Und wir lieben es, dich auf deiner Reise zu begleiten.
Bei SPIN-UP bieten wir Euch professionelles Training in toller Atmosphäre. Wir trainieren in kleinen Gruppen, ohne Leistungsdruck aber mit dem grösstmöglichen Lernerfolg. Es liegt uns am Herzen, Euch individuell zu fördern - und nicht zu überfordern.
Sowohl Anfängern als auch fortgeschrittenen Schülern bieten wir fundierte Unterrichtsangebote. Nebst Poledance gehören dazu auch Krafttraining, Stretching, Chair- und Heels-Dance sowie Privatstunden. Ein besonderes Highlight sind unsere Polterabende und Geburtstagsparties.
Wir haben uns zum Ziel gesetzt, euch ebenso von dem Tanz an der Stange zu begeistern wie wir es sind. Ihr sollt Spass haben und eine wundervolle Zeit mit uns verbringen! Komm vorbei und lass dich überzeugen!
Unsere Adresse:
STUDIO BERN
Vidmarhalle, 3. Stock.
Könizstrasse 161,
3097 Liebefeld-Bern
Tel. 078 807 56 87",0,4.9,17 Rezensionen, info@spin-up.ch,https://www.spin-up.ch/,+41788075687,https://www.eversports.ch/s/spin-up,2023-05-12 15:56:28
37,The Pole Jungle,4020,Volksgartenstraße 19 , 4020 Linz,"Wie der Name bereits sagt erwartet euch ein grüner Jungle mitten in der Linzer Innenstadt. Kombiniert mit Chrome Poles, wird das Design des Pole Studio noch einzigartiger. Wir schwingen uns nicht nur wie Tarzan und Jane von Pole zu Pole, sondern erleben das perfekte Jungle Feeling beim Trainieren. Wir verbinden den Sport, den wir lieben mit der positiven Wirkung der Zimmerpflanzen, um unseren (manchmal stressigen) Alltag auszugleichen.
The Pole Jungle ist mit gesamt 12 Pole Stangen ausgestattet in Chrome. Die lange Fensterfront und die wunderschöne Glaskuppel ermöglichen dem Tageslicht das Pole Studio zu fluten und ausreichend Helligkeit und Freundlichkeit in das Studio zu bringen.",0,4.9,7 Rezensionen, hello@thepolejungle.com,http://www.thepolejungle.com,+43 677 647 33 8 00,https://www.eversports.de/s/the-pole-jungle,2023-05-12 15:56:29
38,Glow Sports Club,78244,Industriepark 201 , 78244 Gottmadingen,"In unserem Glow Sports Club sind alle herzlich Willkommen ganz nach unserem Motto - FOR EVERYBODY & EVERY BODY!
In unserem hellen und modernen Studio stehen dir drei Kursräume mit 144m² Fläche zur Verfügung. Du wirst von einem top ausgebildeten und motivierten Team empfangen.
Unsere Deckenhöhe beträgt 3.60m, perfekte Bedingungen für Aerial Sports. Durch unsere großzügig verspiegelten Wände könnt ihr euch während dem Training selbst gut beobachten. Der Unterricht findet in kleinen Gruppen statt, so können wir dir immer eine familiäre Atmosphäre bieten.
It’s not only a Club – It’s a feeling",0,4.9,13 Rezensionen, info@glowsportsclub.de,http://www.glowsportsclub.de,+49 171 6444114,https://www.eversports.de/s/glow-sports-club,2023-05-12 15:56:29
39,ST Polestudio,75365,Walkmühleweg 47, 75365 Calw,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,4.7,11 Rezensionen, st_polestudio@yahoo.de,https://www.st-polestudio.de/,+49 1733746944,https://www.eversports.de/s/st-polestudio,2023-05-12 15:56:30
40,Polesition Regensburg,93326,Rebhuhnstraße 4, 93326 Abensberg,"Polesition Regensburg bietet Kurse in Poledance und Dance sowie Aerial Classes. In dem 300 qm liebevoll eingerichteten Studio wird Frauen aller Altersgruppen und jeglicher Figur das Tanzen beigebracht, denn Tanzen ist vor allem eine Frage der Sinnlichkeit. Hier findest du die richtige Mischung aus Tanz, Akrobatik und Fitness. Neben Poledance, Dance und Aerial Classes werden auch Flying Yoga, Deepwork, Bodyart, Stretch & Flex und Faszibility angeboten.",0,4.9,27 Rezensionen, office@polesition-regensburg.de,http://www.polesition-regensburg.de,0,https://www.eversports.de/s/polesition-regensburg,2023-05-12 15:56:30
41,Pole and Move Ludwigshafen,67067,Raschigstraße 100 , 67067 Ludwigshafen am Rhein,Neueröffnung am 19.Juni 2023,0,0.0,(Noch keine Bewertungen), team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-ludwigshafen,2023-05-12 15:56:31
42,Soultide,20537,Süderstraße 159A , 20537 Hamburg,"Als Soultide ist es uns das größte Anliegen, dir mit unserem Studio einen “Safe Space” zu erschaffen, der es dir ermöglicht, all das zu sein, was du sein willst. Mit viel Spaß und Empowerment kannst du bei uns ungeahnte Fähigkeiten entdecken und dir in jeder Bewegung oder jedem Innehalten selbst begegnen. Ob Pole Dance in verschiedenen Stilen, Aerial Hoop, Aerial Silk, Aerial Hammock, Tease Kurse wie Floor, Chair Dance, Lap Dance, Twerk, oder doch Yoga. Genau wie das Auf und Ab der Gezeiten beeinflusst vom Mond, entscheidest du nach eigenem Befinden, welche Bewegungsrichtung gerade die richtige für dich ist. Wir sind gespannt, welche Entwicklung dein Weg bei uns für dich bereithält.",0,4.9,43 Rezensionen, hello@soultide-studio.de,https://soultide-studio.de/,0,https://www.eversports.de/s/soultide,2023-05-12 15:56:31
43,Pole and Move Mannheim,68309,Edisonstraße 20 , 68309 Mannheim,"Willkommen bei Pole and Move. Unsere Studios befinden sich in Mannheim, Heidelberg und Ketsch und natürlich auch Online. Wir sind ein junges, dynamisches und motiviertes Unternehmen in der Sport- und Fitnessbranche, welches sich hauptsächlich auf den Polesport & Arial Arts konzentriert.
Wir freuen uns auf alle Tanz- und Sportbegeisterte, die uns einmal besuchen möchten.",0,4.9,43 Rezensionen, team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-mannheim,2023-05-12 15:56:32
44,POLE HEROES,91052,Karl-Zucker-Straße 7-9, 91052 Erlangen,"Das Pole- & Aerial-Dance-Studio POLE HEROES befindet sich zentral in Erlangen. Es ist mit dem Fahrrad, Auto und öffentlichen Verkehrsmitteln gut zu erreichen. Die Poledancekurse sind nach Schwierigkeitsgrad aufgebaut, sodass jeder individuell gefördert und gefordert wird. Die Poledancestangen sind 4,60 m hoch und bieten somit Platz für alle Tricks. Neben Poledance gibt es auch Kraft-, Flexibilitäts- und Aerial Hoop-Kurse.",0,4.9,55 Rezensionen, info@poleheroes.de,http://www.poleheroes.de,0,https://www.eversports.de/s/pole-heroes,2023-05-12 15:56:33
45,PoleRoom Braunschweig,38118,Büchnerstraße 10 , 38118 Braunschweig,"Das Luftakrobatik Studio ""PoleRoom"" befindet sich im Herzen Braunschweigs, im westlichen Ringgebiet. Auf zwei Etagen mit 400 Quadratmetern findest du Kurse wie Poledance, Polefitness, Stretching, Aerial Hoop, Aerial Silks/ Vertikaltuch und Aerosling Fitness (funktionelles Schlingentraining). Das Studio in Braunschweig ist leicht mit der Straßenbahn zu erreichen, aber auch Parkplätze stehen dir zur Verfügung. Darüber hinaus werden Polepartys und Personal Trainings angeboten. Für Veranstaltungen jeglicher Art kann man auch einen Show-Auftritt buchen. Alle TrainerInnen haben eine fundierte fachliche Ausbildung.",0,4.9,38 Rezensionen, info@poleroom.de,http://www.poleroom.de/,+49 1797431729,https://www.eversports.de/s/poleroom-braunschweig,2023-05-12 15:56:35
46,Pole Circus A + K,86161,Rehmstraße , 86161 Augsburg,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,5.0,20 Rezensionen, info@polecircus.de,https://www.polecircus.de,017670153933,https://www.eversports.de/s/pole-circus-a-k,2023-05-12 15:56:35
47,CALIPSO STUDIO,9731,Timpweg 6 , 9731 AL Groningen,"Workouts for women, by women.
CALIPSO is een high quality, women only sport studio die vrouwen fysiek fitter en mentaal sterker maakt.
<span>De leukste (dans) workouts onder 1 dak! Van cardio tot sculpting en van paaldansen tot aan ontspanning.</span>",0,4.8,30 Rezensionen, info@calipsofitstudio.com,http://calipsofitstudio.com,0,https://www.eversports.de/s/calipso-studio,2023-05-12 15:56:36
48,Pole and Move Online Studio,68309,Edisonstraße 20, 68309 Mannheim,"Willkommen bei Pole and Move. Unser Motto 2022: Egal was passiert am Ende werden wir Tanzen. Unsere Studios befinden sich in Mannheim, Heidelberg und Ketsch und natürlich auch Online. Wir sind ein junges, dynamisches und motiviertes Unternehmen in der Sport- und Fitnessbranche, welches sich hauptsächlich auf den Polesport & Arial Arts konzentriert.
Wir freuen uns auf alle Tanz- und Sportbegeisterte, die uns einmal besuchen möchten.",0,4.9,28 Rezensionen, team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-online-studio,2023-05-12 15:56:37
49,Poleart_Inspiration,87700,Allgäuer Straße 12 , 87700 Memmingen,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,0.0,(Noch keine Bewertungen), sarahsonja.pole@gmail.com,https://www.poleartinspiration.de/,0,https://www.eversports.de/s/poleart_inspiration,2023-05-12 15:56:39
50,Aerial Art Poledance,66287,Holzer Straße 98 , 66287 Quierschied,"Das Aerial Art Poledance in ein Poledance Studio in Quierschied. Es befindet sich unweit vom Ortszentrum und ist räumlich sehr großzügig gestaltet. Angeboten werden im Studio Poledancekurse für alle Niveaustufen, sowohl als Einzel- als auch als Gruppenunterricht. Das Studio kann aber auch fürs freie Training genutzt werden. Daneben wird bei Aerial Art Poledance auch Aerial Hoop und Movement Meditation angeboten.",0,4.9,103 Rezensionen, info@aerialart-poledance.de,http://www.aerialart-poledance.de/,01777870239,https://www.eversports.de/s/aerial-art-poledance,2023-05-12 15:56:39
51,The Pole Lounge,39108,Goethestraße 6b , 39108 Magdeburg,"Pole Dance ist für alle geeignet!
Pole Dance ist die perfekte Sportart für alle, die Kraft aufbauen möchten, beweglicher werden wollen oder einfach Lust auf akrobatisches Tanzen haben. Voraussetzungen gibt es eigentlich keine.",0,5.0,31 Rezensionen, info@polelounge.de,http://www.polelounge.de,+49 1734575394,https://www.eversports.de/s/the-pole-lounge,2023-05-12 15:56:40
52,pure body concepts OLD,85591,Zugspitzstraße 2A, 85591 Vaterstetten,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,0.0,(Noch keine Bewertungen), info@pure-body-concepts.de,0,+49 8106 3774499,https://www.eversports.de/s/pure-body-concepts,2023-05-12 15:56:40
53,Yoga Vidya Burgdorf,31303,Marktstraße 65 , 31303 Burgdorf,"Yoga in Burgdorf in seiner ganzen Vielfalt entdecken
Yoga Vidya Burgdorf lehrt integrales Yoga in der Tradition von Swami Sivananda. Kursteilnehmer:innen haben so die Möglichkeit, Aspekte aller der sechs bestehenden Yogawege in ihre Praxis zu integrieren: Hatha Yoga, Kundalini Yoga, Karma Yoga, Jnana Yoga, Bhakti Yoga und Raja Yoga. Durch die Integration aller 6 Wege zu einer harmonischen Praxis, kannst du Yoga in seiner ganzen Fülle, über Körperübungen hinaus, erfahren und erleben. So kannst du zu mehr Gesundheit, Freude und Zufriedenheit in deinem Leben kommen.
Das Yoga Vidya Center Burgdorf begrüßt dich mitten im Herzen der Stadt in der zentral gelegenen Marktstraße. Dort erwarten dich helle, sonnige und ruhige Räume zum Praktizieren. Daneben findest du bei uns das vegane Karma-Cafe, wo dich leckerer Yogi-Tee und Bio-Cafe und ein kleiner Shop für Yoga-Zubehör und anderen hübschen Dingen erwarten. Parkplätze findest du ganz in der Nähe, z.B. auf der Hochstraße und falls du mit der S-Bahn anreist, bist du in 5 Minuten Fußweg bei uns.
Wir freuen uns ab Mai über deinen Besuch!",0,0.0,(Noch keine Bewertungen), burgdorf@yoga-vidya.de,https://www.yoga-vidya.de/center/burgdorf/,+49 01777555379,https://www.eversports.de/s/yoga-vidya-burgdorf,2023-05-12 15:56:41
54,One8dance Studio,51469,Britanniahütte 10 , 51469 Bergisch Gladbach,"Für alle Kinderkurse bis einschließlich 16 Jahre:
kommt einfach im Studio vorbei und genießt zum Kennenlernen eine Gratis Probe-Stunde.
Wenn es Euch gefällt: dann füllen wir alles gemeinsam im Studio aus
- Eure Kinder können Tanzstunden einmal pro Woche zu folgenden Preisen wahrnehmen:
· 45 Minuten 39€ pro Monat bei einer Vertragslaufzeit von mindestens 3 Monaten und anschließend monatlich kündbar jeweils zum Monatsende.
· 60 Minuten 43€ pro Monat bei einer Vertragslaufzeit von mindestens 3 Monaten und anschließend monatlich kündbar jeweils zum Monatsende.
· einmalige Anmeldegebühr über 28€
Bei Fragen meldet Euch einfach :-) und freuen uns auf Euch!",0,5.0,1 Rezensionen, one8dance@gmail.com,https://one8dance.de/,+49 01782996698,https://www.eversports.de/s/one8dance-studio,2023-05-12 15:56:41
55,CSS AERIAL DANCE STUDIO,22851,Hummelsbütteler Steindamm , 22851 Hamburg,"Das CSS AERIAL DANCE STUDIO befindet sich im Hummelsbütteler Steindamm 84 in Norderstedt. Hier findest du auf 429qm alles was dein Herz begehrt - Pole Dance, Aerial Hoop, unterschiedliche Yogakurse und auch ein kleines Café zum zurückziehen. Im CSS herrscht eine herzliche Atmosphäre. Das Crewleben wird hier groß geschrieben und wir achten auch darauf, dass sich jeder wohl fühlt. Mit dem Auto oder dem Bus kommst du gut zu unserem Studio.",0,4.8,46 Rezensionen, CorinnaSchatz@gmx.de,http://www.cssaerialdancestudio.com,+4915224340258,https://www.eversports.de/s/css-aerial-dance-studio,2023-05-12 15:56:42
56,Anni's Pole-Dance Uetersen,25436,Pracherdamm 8 , 25436 Uetersen,"Hallo lieber Schüler,
schön, dass du zu mir gefunden hast. Du suchst ein Hobby, welches die Spaß bringt und deine allgemeine Fitness stärkt? Dann bist du hier genau richtig!
Unser Angebot:
· Pole-Dance
· freies Training
· Workshops
· Junggesellinnenabschied
Und das für jedes Level! Bei mir findet jeder etwas :)
Über das Studio:
· ca. 110 qm Kursraum
· 9 Stangen
· viele kostenlose Parkplätze
Über euren Kurs:
· Anmeldung zu einem bestimmten Level, Tag & Uhrzeit
· Möglichkeit im gebuchten Level zwischen verschiedenen Tagen zu wechseln, sofern das Level mehrmals angeboten wird
· open Training (nutze den Raum kostenlos bis zu 2x pro Woche)",0,5.0,14 Rezensionen, anni@annis-poledance.de,http://www.annis-poledance.de,+49 15253821082,https://www.eversports.de/s/annis-pole-dance-uetersen,2023-05-12 15:56:43
57,Pole Oase,65385,Kleine Grabenstraße 1, 65385 Rüdesheim am Rhein,"Pole Oase ist das erste Pole Dance Studio im Rheingau und besteht seit März 2018. Mit viel Leidenschaft und Herzblut unterrichten unsere professionell ausgebildeten Trainer verschiedene Disziplinen wie Pole Dance, Exotic Pole, Aerial Hoop, Twerk u.a.
Unser Pole Dance Raum besteht aus 6 doppelt verstärkten Stangen aus Chrome mit großzügig Platz zwischen jeder Stange, einer großen Spiegelwand und großen Fenstern für viel Tageslicht. Verschiedenfarbige Lampen runden die Stimmung ab.
Unser Aerial Raum umfasst 4 Reifen (Aerial Hoop), die in verschiedenen Höhen aufgehängt werden können.
Außerdem gibt es einen abgegrenzten Thekenbereich mit Sitzmöglichkeiten, einen richtigen Umkleideraum und Sanitäranlagen. Im Hof stehen euch zudem kostenfreie Parkplätze zur Verfügung.",0,5.0,15 Rezensionen, info@pole-oase.de,https://pole-oase.de/,+49 15785939882,https://www.eversports.de/s/pole-oase,2023-05-12 15:56:43
58,Infinity Polesports,84508,Martin-Ofner-Straße, 84508 Burgkirchen an der Alz,"Infinity Polesports sind nunmehr zwei Studios für Poledance, welche sich in Burgkirchen an der Alz und mit einem weiteren Studio in Eggenfelden befinden. Diverse Kursangebote für Anfänger, Fortgeschrittene, Körperbetonte und auch für Exotik-Suchende sind bei Infinity Polesports im Programm. Beide Studios sind hochwertig mit acht bzw. neun Poles und hohen Decken ausgestattet. Das gewährt freie und ungestörte Trainingsmöglichkeiten für die Kursteilnehmer.",0,5.0,29 Rezensionen, info@infinity-polesports.de,https://www.infinity-polesports.de/,+491721642077,https://www.eversports.de/s/infinity-polesports,2023-05-12 15:56:43
59,aerialflow,45894,Pfefferackerstraße 2A , 45894 Gelsenkirchen,"Das aerialflow in Gelsenkirchen-Buer lädt dich herzlich zu schweißtreibenden Trainingseinheiten in modernem Ambiente ein. Hier wird dir maximaler Trainingserfolg durch Training in kleinen Lerngruppen mit professioneller Betreuung gewährleistet. Egal, ob Yoga, Poledance, Tanzen oder Fitnessworkouts - belege verschiedenste Kurse für unterschiedliche Niveauklassen und arbeite hochintensiv und effektiv an deinen persönlichen Trainingszielen. Komme ins aerialflow und trainiere hier über den Dächern von Gelsenkirchen-Buer in einer angenehmen und motivierenden Atmosphäre!",0,4.8,48 Rezensionen, info@aerialflow.de,http://www.aerialflow.de,+49 (0) 209 88000403,https://www.eversports.de/s/aerialflow,2023-05-12 15:56:44
60,PoleSensation,74072,Südstraße 49, 74072 Heilbronn,"PoleSensation in Heilbronn bietet Kurse in Poledance und Fitness. Melde dich einfach zu einem Schnupperkurs an, um die Welt des Poledance bei PoleSensation auszuprobieren und zu sehen, ob dir diese Sportart liegt. Tänzerische oder sportliche Vorkenntnisse sind nicht erforderlich. Feste Kurse finden von Montag bis Samstag statt und sind in verschiedene Level eingeteilt, von Anfänger bis Profi. Die Unterrichtseinheiten sind jeweils 75 Minuten lang.",0,0.0,(Noch keine Bewertungen), info@polesensation.de,http:www.polesensation.de,+491727558233,https://www.eversports.de/s/polesensation,2023-05-12 15:56:45
61,POLE LOFT,91301,Daimlerstraße 8 , 91301 Forchheim,Dein einzigartiges Poledancestudio in Forchheim. Poledance & Akrobatik Kurse in einer Wohlfühlatmosphäre im Loft Stil.,0,4.9,21 Rezensionen, info@poleloft-fo.de,http://www.poleloft-fo.de,0,https://www.eversports.de/s/pole-loft,2023-05-12 15:56:45
62,Pura Studio,52477,Schaufenberger Straße 61 , 52477 Alsdorf,"Pura ist ein Yoga , Stretching , Poledance und Aerial Hoop Studio in Alsdorf.
Wir bieten unsere Kurse unter professioneller Anleitung an.
Ob Probestunden,Einzeltickets,10er Karten, Abos, Privatstunden, Workshops, Pole Parties, Junggesellinnen Abschiede oder Fotoshootings, wir haben für jeden das richtige Angebot.
Wir bieten ein modernes und attraktives Studio mit zwei Kursräumen und auch für das passende Equipment der jeweiligen Kurse ist gesorgt.
Du brauchst also nichts weiter als vorbei zu kommen und dich von unserer Leidenschaft anstecken zu lassen.
Wir sind überzeugt, dass du durch das Training in unserem Studio ein erhöhtes Selbstbewusstsein, eine verbesserte körperliche Fitness und eine größere mentale Stärke erreichen wirst.",0,5.0,60 Rezensionen, info@pura-studio.de,http://www.pura-studio.de,+49 1772836563,https://www.eversports.de/s/pura-studio,2023-05-12 15:56:46
63,Pure Motion Kiel,24116,Eichkamp 1 , 24116 Kiel,"Das Pure Motion Kiel findest du in Eichkamp 1 , 24116 Kiel und hat für dich Montag bis Sonntag geöffnet. Neben Yoga und Tanz ist das Studio vor allem auf Pole Dance und Aerial Akrobatik spezialisiert. Kurse werden auch für Männer angeboten!
Hast du also Spaß an rhythmischer Bewegung und willst etwas für deinen Körper tun dann komm vorbei ins Pure Motion Kiel und hab Spaß mit den anderen.",0,4.9,72 Rezensionen, info@puremotion-kiel.de,https://puremotion-kiel.de,+4943138585048,https://www.eversports.de/s/pure-motion-kiel,2023-05-12 15:56:46
64,Ramonas Tanzschmiede,45886,Ückendorfer Straße 121 , 45886 Gelsenkirchen,"Herzlich Willkommen bei Ramonas Tanzschmiede!
Seit 2018 finden Sie uns in Gelsenkirchen Ückendorf, mit Tanzkursen ab 2 Jahren, bis hin ins hohe Erwachsenenalter.
Unser Angebot umfasst verschiedenste Tanzstile:
Hier finden Sie alles, angefangen bei Eltern- Kind Tanzen, über teilbegleitetes Tanzen, bis hin zu kreativem Kindertanz, Hip Hop, Jazzdance, Contemporary, Dancehall, Streetdance, Showdance, Heels, Chair Dance, Pole Dance und Ballett. Werfen Sie hierzu einen Blick in unseren Kursplan und die jeweiligen Kursbeschreibungen! (Aktuell ist alles an die Coronasituation angepasst)
Zusätzlich bieten wir die Möglichkeiten, Junggesellinnenabschiede (JGA), Kindergeburtstage und Hochzeitstanzstunden in unseren Räumlichkeiten zu buchen.
Gerne kommen wir auch zu Ihrer Veranstaltung und gestalten dort ein buntes Programm für Sie!
Unsere Auftrittserfahrungen reichen von kleinen Gemeindefesten, über Großveranstaltungen, wie den Duisburger Tanztagen, bis hin zu professionellen Theatershows und Tourneen.",0,5.0,10 Rezensionen, kontakt@ramonas-tanzschmiede.de,http://www.ramonas-tanzschmiede.de,+49 1758535222,https://www.eversports.de/s/ramonas-tanzschmiede,2023-05-12 15:56:47
65,BodySoul Studio Düsseldorf,40599,Süllenstraße 30, 40599 Düsseldorf,"Hallo und herzlich willkommen im BodySoul Studio Düsseldorf,
Im Angebot stehen sowohl Präsenz- als auch Onlinekurse & 1:1 Coaching zur Verfügung.
Hierbei wird der Fokus sowohl auf den Körper als auch auf den Geist gelegt.
Flexibility/ Stretching/ Mobility
Fullbody Powerstretching: Umfangreiches und ausgiebiges Dehnprogramm mit Kräftigungs- & Stabilitätsübungen für den Aufbau einer validen Beweglichkeit und dem Zusammenspiel von Yogaflowsequenzen. Hier findest Du ein qualitatives Programm für den Spagat, Vor- & Rückbeuge. Es werden nicht nur Basics trainiert, sondern auch anspruchsvolle Einheiten, sodass du herausgefordert wirst und eine Entwicklung garantiert ist.
Yoga & Meditation
Durch Hatha Yoga sorgen wir dafür, dass die Verbindung zwischen Körper und Geist zustande gebracht wird, um im Leben besser mit Stresssituationen umgehen zu können und generell eine Gelassenheit zu kultivieren.
Je nach Kurs können dabei sanfte flows, Powervinyasa oder auch kraftvolles akrobatisches Ashtanga Yoga vorkommen mit einer anschließenden entspannenden Savasana-session für den Geist am Ende der Stunde.
Zirkeltraining/ Akrobatik
Acrobatics preparation: Im Vordergrund steht in diesem Kurs der Aufbau von Kraft und Stabilität durch intensive Übungen, die alle Bereiche abdecken (Ausdauer, Kraft, Beweglichkeit). Ein schöner Nebeneffekt von meinem Programm ist die Körperspannung, die sich nebenher entwickelt. Sehr hilfreich z.B. für den Unterarm- oder Kopfstand. Also kommen hier auch akrobatische Elemente und die dazugehörigen Vorübungen vor (Handstandtraining).
1:1 Coaching
In den Bereichen der yogischen Lebensphilosophie (Selbstheilung, Mindset, Persönlichkeitsentwicklung), Meditation/ Atemtechniken, Achtsamkeits- & Bewusstseinsarbeit, sowie auch Personaltraining (inkl. Mentaltraining), kann solch eine Stunde gerne gebucht werden. Dafür darfst du dich gerne bei mir telefonisch oder per Nachricht melden
Alle Kurse sind für jedes Level geeignet, da individuelle Anforderungen in der Klasse gestellt werden.",0,4.9,13 Rezensionen, info@bodysoul-studio.com,http://bodysoul-studio.com/,+49 15906354338,https://www.eversports.de/s/bodysoul-studio-duesseldorf,2023-05-12 15:56:47
66,Pole Werk by Nelly,66450,Kleinottweilerstraße 75 , 66450 Bexbach,"Das Pole Werk ist das erste Poledance und Aerial Hoop Studio im Saarpfalz-Kreis. Von Kinderkursen, Pole Dance, Aerial Hoop und Flexibility ist alles dabei. Probier es aus und lass dich von diesen wunderschönen Sportarten verzaubern.",0,5.0,22 Rezensionen, polewerk@t-online.de,0,+49 15174417744,https://www.eversports.de/s/pole-werk-by-nelly,2023-05-12 15:56:48
67,a heart for poledance,51469,Nußbaumer Straße 6, 51469 Bergisch Gladbach,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,0.0,(Noch keine Bewertungen), info@aheartforpoledance.de,0,+4915735519129,https://www.eversports.de/s/a-heart-for-poledance,2023-05-12 15:56:48
68,UpsideDown Studio Bad Homburg,61348,Louisenstraße 98 , 61348 Bad Homburg vor der Höhe,"Das Studio UpsideDown ist in Bad Homburg vor der Höhe zu finden. Interessierte können Aerial Hoop (Luftkünste), Poledance, Stretch und Relax trainieren. Für Freiluftenthusiasten ist ein Outdoor-Training, eine Kombination aus Kraft und Ausdauer, möglich. Aerial Hoop wird in luftiger Höhe praktiziert und kommt einem Flug durch die Lüfte sehr nahe. Im Studio UpsideDown können Neueinsteiger ihre Fitness auf akrobatische Weise auf die Probe stellen.",0,5.0,18 Rezensionen, info@upsidedown-studio.de,https://www.upsidedown-studio.de/,+491724519252,https://www.eversports.de/s/upsidedown-studio-bad-homburg,2023-05-12 15:56:49
69,Dance & Pole Langenfeld,40764,Kölner Straße 16 , 40764 Langenfeld (Rheinland),"Wir sind ein kleines, sehr persönliches Studio mit einer großen Auswahl an Kursangeboten.
Dance & Pole in Langenfeld ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden.
Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von uns inspirieren.",0,0.0,(Noch keine Bewertungen), info@danceandpole.de,https://www.danceandpole.de/,+49 1741929037,https://www.eversports.de/s/dance-and-pole-langenfeld,2023-05-12 15:56:50
